,SMILES,CID,Unnamed: 2,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,LogP,MW,HBD,HBA,PSA,ROTB,AROM,FSP3,FC,QED
198,N#Cc1ccccc1NC(=O)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-23,,,99.5,,,,,3.89408,367.408,1,3,73.2,4,3,0.086956522,0,0.760129985
199,O=C(Nc1cccc(F)c1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-24,,,99.5,,,,,4.1615,360.388,1,2,49.41,4,3,0.090909091,0,0.759425564
200,O=C(Nc1cccnc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-25,,,99.5,,,,,3.4174,343.386,1,3,62.3,4,3,0.095238095,0,0.789458255
201,CNCC1CCCN(C(=O)[C@@H](c2ccccc2)N2Cc3ccccc3C2=O)C1,LON-WEI-b2874fec-26,,,99.5,,,,,2.8417,377.488,1,3,52.65,5,2,0.391304348,0,0.871787959
202,CN(C)C(=O)C(CNC(=O)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O)c1ccccc1,LON-WEI-b2874fec-27,,,99.5,,,,,3.3719,441.531,1,3,69.72,7,3,0.222222222,0,0.611253967
203,O=c1[nH]c(Cc2cccc(C(F)(F)F)c2)nc2cnccc12,JOH-UNI-61f30276-2,,,99.5,,,,,2.9277,305.259,1,3,58.64,2,3,0.133333333,0,0.791688916
204,O=c1[nH]c(Cc2cccc(S(F)(F)(F)(F)F)c2)nc2cnccc12,JOH-UNI-61f30276-3,,,99.5,,,,,4.5663,363.311,1,3,58.64,3,3,0.071428571,0,0.693910824
205,CC(C(N)=O)c1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,MAT-POS-281d2ee9-1,,,2.621824026,5.581396461,,,,3.6582,367.836,2,3,85.08,5,3,0.15,0,0.721215042
206,O=C(Cc1cc(Cl)cc(-c2nnn[nH]2)c1)Nc1cncc2ccccc12,MAT-POS-281d2ee9-3,,,21.39501026,4.669687501,,,,3.2495,364.796,2,5,96.45,4,4,0.055555556,0,0.579062541
207,O=C(Nc1cncc2ccccc12)[C@@H]1CCNc2ccc(Cl)cc21,EDJ-MED-92e193ae-1,,,0.230226281,6.637845102,,,,4.4261,337.81,2,3,54.02,2,3,0.157894737,0,0.727162179
208,O=C(Nc1cncc2ccccc12)[C@H]1CCNc2ccc(Cl)cc21,EDJ-MED-92e193ae-2,,,99.5,,,,,4.4261,337.81,2,3,54.02,2,3,0.157894737,0,0.727162179
209,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cnc[nH]1)C1CCN(c2ccccc2F)C1,ALP-POS-e980f4ea-26,,,99,,,,,3.9042,530.579,2,5,94.22,9,4,0.24137931,0,0.342414542
210,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cnc[nH]1)C1CCN(c2ccccc2)C1,ALP-POS-e980f4ea-31,,,99,,,,,3.7651,512.589,2,5,94.22,9,4,0.24137931,0,0.356205323
211,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(OC2CCOC2)cc1,ALP-POS-e980f4ea-32,,,25.81544099,4.588120452,,,,3.8585,529.572,2,6,109.44,10,4,0.24137931,0,0.323003777
212,CC(c1ccccc1)N(C(=O)c1cnc[nH]1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-e980f4ea-54,,,99,,,,,4.2474,471.536,2,4,90.98,9,4,0.185185185,0,0.38191589
213,Cc1ccccc1C(C)N(C(=O)c1cnc[nH]1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-e980f4ea-58,,,99,,,,,4.55582,485.563,2,4,90.98,9,4,0.214285714,0,0.363779526
214,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cnc[nH]1)C1CCCC2(CCC2)C1,ALP-POS-e980f4ea-61,,,99,,,,,4.5991,489.595,2,4,90.98,8,3,0.428571429,0,0.483912151
215,O=C(Nc1cncc2ccccc12)[C@]1(O)CCOc2ccc(Cl)cc21,EDG-MED-971238d3-1,,,0.987977938,6.005252753,,,,3.497,354.793,2,4,71.45,2,3,0.157894737,0,0.73854717
216,NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,EDG-MED-971238d3-5,,,5.02056839,5.299247113,,,,3.5059,367.836,2,4,77.24,3,3,0.2,0,0.742271606
217,O=C(Nc1cncc2ccccc12)C1CCOc2c(O)cc(Cl)cc21,ALP-POS-ce760d3f-1,,,0.579210691,6.23716343,,,,4.0986,354.793,2,4,71.45,2,3,0.157894737,0,0.726462481
218,O=C(Nc1cncc2cnccc12)[C@H]1CCOc2ccc(Cl)cc21,ALP-POS-ce760d3f-2,,,,,,,,3.788,339.782,1,4,64.11,2,3,0.166666667,0,0.771185947
219,O=C(Nc1cncc2ccncc12)[C@H]1CCOc2ccc(Cl)cc21,ALP-POS-ce760d3f-3,,,0.991406538,6.003748221,,,,3.788,339.782,1,4,64.11,2,3,0.166666667,0,0.771185947
220,O=C(Nc1c[n+]([O-])cc2ccccc12)[C@H]1CCOc2ccc(Cl)cc21,ALP-POS-ce760d3f-4,,,25.675816,4.590475745,,,,3.6314,354.793,1,3,65.27,2,3,0.157894737,0,0.564216246
221,O=C1C(c2ccc(Cl)cc2)CCCN1c1cncc2ccccc12,ALP-POS-ce760d3f-8,,,78.20944247,4.10674081,,,,4.7988,336.822,0,2,33.2,2,3,0.2,0,0.673192019
222,O=C1NC2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,VLA-UCB-29506327-1,,,1.315997373,5.880744978,,,,3.6224,379.803,1,4,71.53,1,3,0.15,0,0.655345793
223,COc1ccccc1OCCNC(=O)c1cc(=O)cc[nH]1,MAT-POS-8fd29122-1,,,99.5,,,,,1.1923,288.303,2,4,80.42,6,2,0.2,0,0.782498122
224,O=C(c1cc(=O)cc[nH]1)N1CCN(c2cccc(Cl)c2)CC1,MAT-POS-8fd29122-2,,,99.5,,,,,1.9907,317.776,1,3,56.41,2,2,0.25,0,0.921330877
225,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1cncc2ccccc12,MAT-POS-23a8a11a-1,,,0.26121279,6.583005563,,,,4.7228,331.202,1,2,41.99,3,3,0.058823529,0,0.754251273
226,O=C1CC(C(=O)N2CCN(c3cccc(Cl)c3)CC2)c2ccccc2N1,MAT-POS-450cb4f9-1,,,20.90583645,4.679732452,,,,3.1146,369.852,1,3,52.65,2,2,0.3,0,0.884493075
227,COc1ccccc1OCCNC(=O)c1cc(=O)ccn1C,PET-UNK-752bebd6-1,,,99.5,,,,,1.2027,302.33,1,5,69.56,6,2,0.25,0,0.814199104
228,COC(=O)/C=C/C(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12,DAR-DIA-5ff57136-9,,,0.49950255,6.30146229,,,,4.0433,450.878,0,6,85.8,4,3,0.166666667,0,0.440153587
229,O=C(Nc1cncc2ccc(F)cc12)C1CCOc2ccc(Cl)cc21,ALP-POS-696356e4-1,,,0.766615617,6.115422338,,,,4.5321,356.784,1,3,51.22,2,3,0.157894737,0,0.733441856
230,CCN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,KHR-WEI-75c61062-1,,,99.5,,,,,3.376,395.434,1,4,75.44,8,3,0.227272727,0,0.634521208
231,CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,KHR-WEI-75c61062-2,,,99.5,,,,,2.9859,381.407,1,4,75.44,7,3,0.19047619,0,0.682724119
232,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1ccccc1)C(=O)c1c[nH]cn1,BRU-THA-92256091-7,,,99,,,,,3.6864,457.509,2,4,90.98,9,4,0.153846154,0,0.401144185
233,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1cccnc1)C(=O)c1c[nH]cn1,BRU-THA-92256091-11,,,99,,,,,3.0814,458.497,2,5,103.87,9,4,0.16,0,0.401218255
234,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1c[nH]cn1)C1CCCCCC1,BRU-THA-92256091-13,,,99,,,,,4.209,463.557,2,4,90.98,8,3,0.384615385,0,0.489834397
235,CC(C)S(=O)(=O)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,BRU-THA-92256091-14,,,99,,,,,3.8729,549.628,2,6,125.12,10,4,0.214285714,0,0.309423055
236,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(OC(F)F)cc1,BRU-THA-92256091-16,,,22.13344978,4.65495089,,,,4.2922,509.488,2,5,100.21,10,4,0.153846154,0,0.332291586
237,CC(C)Oc1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,BRU-THA-92256091-17,,,0.712447221,6.147247303,,,,4.478,501.562,2,5,100.21,10,4,0.214285714,0,0.3338464
238,COc1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,BRU-THA-92256091-19,,,93.71970647,4.02816908,,,,3.6994,473.508,2,5,100.21,9,4,0.153846154,0,0.386180467
